,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xh12,xh13,xh14,xh15,xh16
11839,1,c_klmx:32,53,24,25,17,-,77,25,17,0.6706,707.6,半球/一球,SNAI.csv,1.0,
11866,0,c_klmx:31,35,56,79,101,-,91,79,101,0.0996,80.9,受平手/半球,Iceland.csv,2.0,
11902,1,c_klmx:32,29,23,18,14,-,52,18,14,0.6089,290.7,一球,必发.csv,2.0,
11906,5,c_klmx:102,39,51,41,28,-,90,41,28,0.5037,712.7,一球,奥地利博彩.csv,2.0,
11933,3,c_klmx:12,90,91,103,108,-,181,103,108,0.2728,1270.9,半球,香港马会.csv,2.0,
11987,5,c_klmx:102,96,109,166,169,-,205,166,169,0.0984,314.0,平手/半球,香港马会.csv,1.0,
11999,0,c_klmx:31,82,51,37,30,-,133,37,30,0.7049,2208.2,一球,伟德.csv,2.0,
12000,1,c_klmx:32,34,28,20,18,-,62,20,18,0.6086,411.6,一球,立博.csv,2.0,
12059,0,c_klmx:31,40,73,99,126,-,113,99,126,0.0979,121.6,受平手/半球,威廉希尔.csv,2.0,
12125,3,c_klmx:12,40,45,46,57,-,85,46,57,0.262,269.6,半球,易胜博.csv,2.0,
12126,0,c_klmx:31,146,92,99,70,-,238,99,70,0.5405,5376.2,半球/一球,Sweden.csv,2.0,
12158,2,c_klmx:11,4,15,17,22,-,19,17,22,0.1063,4.2,受平手/半球,PMU.csv,2.0,
12160,4,c_klmx:101,21,27,41,60,-,48,41,60,0.158,61.6,受平手/半球,利记.csv,2.0,
12161,5,c_klmx:102,17,25,55,83,-,42,55,83,0.2851,292.7,受平手/半球,香港马会.csv,2.0,
12228,2,c_klmx:11,21,29,18,7,-,50,18,7,0.7296,332.7,半球/一球,BetClick.csv,1.0,
12230,4,c_klmx:101,29,18,27,25,-,47,27,25,0.301,98.7,半球/一球,888Sport.csv,2.0,
12258,3,c_klmx:12,5,15,23,26,-,20,23,26,0.1065,6.0,受平手/半球,利记.csv,2.0,
12279,5,c_klmx:102,71,106,140,169,-,177,140,169,0.0981,252.7,平手/半球,澳门.csv,1.0,
12318,3,c_klmx:12,42,30,41,48,-,72,41,48,0.2474,176.2,半球,888Sport.csv,2.0,
12320,0,c_klmx:31,189,138,142,93,-,327,142,93,0.5379,10153.6,半球/一球,立博.csv,2.0,
12335,2,c_klmx:11,6,5,12,18,-,11,12,18,0.2262,9.6,受半球,必发.csv,2.0,
12345,1,c_klmx:32,11,16,18,57,-,27,18,57,0.4904,278.0,受平手/半球,Bet365.csv,1.0,
12347,3,c_klmx:12,15,33,43,55,-,48,43,55,0.1011,24.2,受平手/半球,必发.csv,2.0,
12377,0,c_klmx:31,66,49,34,25,-,115,34,25,0.6978,1638.0,一球,竞彩官方.csv,2.0,
12421,4,c_klmx:101,12,8,18,32,-,20,18,32,0.265,38.2,受半球,必发.csv,2.0,
12428,2,c_klmx:11,19,33,56,65,-,52,56,65,0.0943,29.6,受平手/半球,澳门.csv,2.0,
12459,0,c_klmx:31,179,134,90,71,-,313,90,71,0.6954,12072.7,一球,Iceland.csv,2.0,
12464,5,c_klmx:102,24,25,21,17,-,49,21,17,0.4909,202.7,一球,Iceland.csv,2.0,
12483,4,c_klmx:101,15,18,27,31,-,33,27,31,0.0822,6.2,半球,Toto.csv,2.0,
12490,3,c_klmx:12,27,19,30,26,-,46,30,26,0.2541,74.7,半球/一球,1Bet.csv,2.0,
12492,5,c_klmx:102,47,56,66,49,-,103,66,49,0.3102,508.2,半球/一球,利记.csv,2.0,
12517,1,c_klmx:32,1,1,11,13,-,2,11,13,0.552,22.9,受平手/半球,Betshop.csv,1.0,
12521,5,c_klmx:102,32,48,80,138,-,80,80,138,0.2752,747.6,受平手/半球,Iddaa.csv,2.0,
12565,4,c_klmx:101,14,12,26,28,-,26,26,28,0.0354,0.9,半球,Olimpkz.csv,2.0,
12574,4,c_klmx:101,22,17,26,22,-,39,26,22,0.2502,52.7,半球/一球,MyBet.csv,2.0,
12575,5,c_klmx:102,41,47,50,46,-,88,50,46,0.3086,358.2,半球/一球,Iceland.csv,2.0,
12584,0,c_klmx:31,17,28,45,69,-,45,45,69,0.2135,128.0,受半球,威廉希尔.it.csv,2.0,
12587,3,c_klmx:12,3,6,12,18,-,9,12,18,0.2878,14.0,受半球,Betshop.csv,2.0,
12595,0,c_klmx:31,45,86,119,148,-,131,119,148,0.0897,141.6,受平手/半球,Bet365.csv,2.0,
12633,1,c_klmx:32,21,15,14,16,-,36,14,16,0.4515,98.7,一球,Norway.csv,2.0,
12634,2,c_klmx:11,12,11,12,11,-,23,12,11,0.3546,29.6,一球,10BET.csv,2.0,
12635,3,c_klmx:12,15,10,22,11,-,25,22,11,0.3113,36.2,一球,10BET.csv,2.0,
12636,4,c_klmx:101,17,12,18,12,-,29,18,12,0.3579,49.6,一球,MyBet.csv,2.0,
12655,1,c_klmx:32,54,44,61,44,-,98,61,44,0.3332,508.2,半球,IFortuna.sk.csv,2.0,
12658,1,c_klmx:32,37,40,45,45,-,77,45,45,0.271,227.6,半球,易胜博.csv,2.0,
12674,0,c_klmx:31,13,18,27,43,-,31,27,43,0.2019,46.2,受半球,澳门.csv,2.0,
12679,5,c_klmx:102,21,31,50,101,-,52,50,101,0.3485,556.2,受半球,888Sport.csv,2.0,
12689,4,c_klmx:102,18,29,63,81,-,47,63,81,0.2181,192.9,受平手/半球,竞彩官方.csv,2.0,
12704,5,c_klmx:102,147,188,269,290,-,335,269,290,0.0924,758.0,平手/半球,Fonbet.csv,1.0,
12716,0,c_klmx:31,143,91,72,51,-,234,72,51,0.6871,6686.0,一球,利记.csv,2.0,
12719,3,c_klmx:12,9,10,11,10,-,19,11,10,0.3021,16.2,一球,必发.csv,2.0,
12721,5,c_klmx:102,51,47,41,37,-,98,41,37,0.4749,776.2,一球,Betshop.csv,2.0,
12747,2,c_klmx:11,19,24,16,4,-,43,16,4,0.7766,266.0,半球/一球,Expekt.csv,1.0,
12748,3,c_klmx:12,19,14,24,22,-,33,24,22,0.1817,22.9,半球/一球,IBCBET(沙巴).csv,2.0,
12750,5,c_klmx:102,36,29,49,36,-,65,49,36,0.2372,140.7,半球/一球,易胜博.csv,2.0,
12761,0,c_klmx:31,17,26,38,55,-,43,38,55,0.1574,50.9,受半球,香港马会.csv,2.0,
12762,1,c_klmx:32,1,2,2,22,-,3,2,22,1.0224,84.7,受半球,BetAdria.csv,1.0,
12764,3,c_klmx:12,3,7,11,16,-,10,11,16,0.2128,6.9,受半球,Bet365.csv,2.0,
12766,5,c_klmx:102,21,37,55,110,-,58,55,110,0.3397,637.6,受半球,Unibet.it.csv,2.0,
12776,4,c_klmx:101,13,17,27,33,-,30,27,33,0.0816,6.0,受平手/半球,Nike.csv,2.0,
12796,5,c_klmx:102,142,171,255,273,-,313,255,273,0.0865,587.6,平手/半球,IFortuna.sk.csv,1.0,
